"DATE.TIME,""hour"",""day"",""lab"",""analyzer"",""CO2_in"",""CO2_S"",""CO2_N"",""CH4_in"",""CH4_S"",""CH4_N"",""NH3_in"",""NH3_S"",""NH3_N"",""H2O_in"",""H2O_S"",""H2O_N"",""n_animals"",""m_weight"",""p_pregnancy_day"",""Y1_milk_prod"",""Temperature"""
"2025-04-08 12:00:00,12,2025-04-08,""LUFA"",""FTIR.2"",522.475,419.4,415.9,13.875,3.5,3,1.275,0.7,0.7,0.6225,0.545,0.575,42.5,545.1818182,119.5510204,30.06491228,18.21"
"2025-04-08 13:00:00,13,2025-04-08,""LUFA"",""FTIR.2"",514.35,416.25,414.75,12.375,2.9,2.7,1.25,0.9,0.8,0.5875,0.505,0.525,43,545.1818182,119.5510204,30.06491228,18.67"
"2025-04-08 14:00:00,14,2025-04-08,""LUFA"",""FTIR.2"",536.575,425.2,423.25,15,3.6,3.55,1.35,0.9,0.8,0.58,0.505,0.51,40.5,545.1818182,119.5510204,30.06491228,14.42333333"
"2025-04-08 15:00:00,15,2025-04-08,""LUFA"",""FTIR.2"",497.325,415.4,413.15,10.75,3.4,2.8,1.3,0.9,0.8,0.5675,0.505,0.515,43,545.1818182,119.5510204,30.06491228,14.64583333"
"2025-04-08 16:00:00,16,2025-04-08,""LUFA"",""FTIR.2"",556.05,422.05,411.8,16.3,3.7,2.7,1.325,0.9,0.9,0.5975,0.515,0.515,45,545.1818182,119.5510204,30.06491228,15.29916667"
"2025-04-08 17:00:00,17,2025-04-08,""LUFA"",""FTIR.2"",580.8,417.65,422.15,18.8,3.25,3.65,1.575,0.95,0.95,0.5875,0.505,0.51,49.25,545.1818182,119.5510204,30.06491228,11.7575"
"2025-04-08 18:00:00,18,2025-04-08,""LUFA"",""FTIR.2"",524.1,422.2,410.6,13.175,3.6,2.8,1.325,0.8,0.8,0.575,0.5,0.51,42.5,545.1818182,119.5510204,30.06491228,8.716666667"
"2025-04-08 19:00:00,19,2025-04-08,""LUFA"",""FTIR.2"",584.075,422.166666666667,414.2,18.575,3.53333333333333,2.9,1.35,0.866666666666667,0.85,0.6175,0.54,0.545,44.75,545.1818182,119.5510204,30.06491228,8.058333333"
"2025-04-08 20:00:00,20,2025-04-08,""LUFA"",""FTIR.2"",649.975,443.25,454.5,23.95,4.55,5.85,1.975,0.8,0.9,0.655,0.565,0.56,44.25,545.1818182,119.5510204,30.06491228,7.235"
"2025-04-08 21:00:00,21,2025-04-08,""LUFA"",""FTIR.2"",560.2,421.65,422.8,14.35,3,3.05,1.7,0.75,0.9,0.615,0.545,0.545,48.5,545.1818182,119.5510204,30.06491228,6.799166667"
"2025-04-08 22:00:00,22,2025-04-08,""LUFA"",""FTIR.2"",612.725,437.05,442.25,17.65,3.4,3.75,1.825,0.85,0.9,0.645,0.585,0.58,53.75,545.1818182,119.5510204,30.06491228,6.248333333"
"2025-04-08 23:00:00,23,2025-04-08,""LUFA"",""FTIR.2"",677.25,439.75,447.45,21.475,3.2,3.05,1.65,0.8,0.65,0.685,0.6,0.605,52.5,545.1818182,119.5510204,30.06491228,5.838333333"
"2025-04-09 00:00:00,0,2025-04-09,""LUFA"",""FTIR.2"",658.525,429.2,427.6,22.025,2.8,3,1.55,0.9,0.6,0.685,0.585,0.595,51.25,545.1818182,119.5510204,30.91034483,5.329166667"
"2025-04-09 01:00:00,1,2025-04-09,""LUFA"",""FTIR.2"",673.675,435.75,425.55,23.3,3.25,3,1.725,0.7,0.8,0.65,0.55,0.55,55,545.1818182,119.5510204,30.91034483,6.3125"
"2025-04-09 02:00:00,2,2025-04-09,""LUFA"",""FTIR.2"",685.1,425.85,426.1,24.025,2.9,3.05,1.9,0.8,0.75,0.65,0.54,0.55,56.25,545.1818182,119.5510204,30.91034483,5.664166667"
"2025-04-09 03:00:00,3,2025-04-09,""LUFA"",""FTIR.2"",648.425,425.85,432.5,20.9,3,3.35,1.8,0.75,0.95,0.62,0.51,0.52,56.75,545.1818182,119.5510204,30.91034483,4.918333333"
